sampling,fs,classifier,data,cv f1,train f1,test f1,test auc,test precision,test recall,test accuracy,test precision (1),test recall (1),test f1 (1),test precision (0),test recall (0),test f1 (0)
up_sample,embedded: rlr_l1,knn,genomic,0.762,1,0.5659,0.471,0.637,0.5278,0.5278,0.2,0.375,0.2609,0.7619,0.5714,0.6531
raw,embedded: rlr_l1,knn,genomic,0.7167,1,0.6375,0.4286,0.5892,0.6944,0.6944,0,0,0,0.7576,0.8929,0.8197
up_sample,wrapper: rfe_lr,rf,genomic,0.7055,1,0.7219,0.4554,0.7288,0.7778,0.7778,0.5,0.125,0.2,0.7941,0.9643,0.871
up_sample,wrapper: rfe_lr,linear_svm,genomic,0.7001,1,0.6523,0.4821,0.5948,0.7222,0.7222,0,0,0,0.7647,0.9286,0.8387
up_sample,embedded: rlr_l1,rf,genomic,0.6968,1,0.6806,0.375,0.6049,0.7778,0.7778,0,0,0,0.7778,1,0.875
smote_sample,embedded: rlr_l1,rf,genomic,0.6965,1,0.6806,0.5223,0.6049,0.7778,0.7778,0,0,0,0.7778,1,0.875
up_sample,filter: anova,linear_svm,genomic,0.6965,1,0.6806,0.4777,0.6049,0.7778,0.7778,0,0,0,0.7778,1,0.875
smote_sample,wrapper: rfe_lr,rf,genomic,0.6965,1,0.6667,0.4263,0.6,0.75,0.75,0,0,0,0.7714,0.9643,0.8571
raw,embedded: rlr_l1,linear_svm,genomic,0.6893,1,0.6523,0.4152,0.5948,0.7222,0.7222,0,0,0,0.7647,0.9286,0.8387
smote_sample,embedded: rlr_l1,linear_svm,genomic,0.6892,1,0.6523,0.442,0.5948,0.7222,0.7222,0,0,0,0.7647,0.9286,0.8387
raw,wrapper: rfe_lr,linear_svm,genomic,0.6818,1,0.6375,0.375,0.5892,0.6944,0.6944,0,0,0,0.7576,0.8929,0.8197
smote_sample,filter: anova,rf,genomic,0.6818,1,0.6806,0.5714,0.6049,0.7778,0.7778,0,0,0,0.7778,1,0.875
smote_sample,filter: anova,linear_svm,genomic,0.6818,1,0.6667,0.4063,0.6,0.75,0.75,0,0,0,0.7714,0.9643,0.8571
