"sampling","fs","classifier","data","cv f1","train f1","test f1","test auc","test precision","test recall","test accuracy","test precision (1)","test recall (1)","test f1 (1)","test precision (0)","test recall (0)","test f1 (0)"
"down_sample","embedded: rlr_l1","rf","genomic_epidemiological",0.702,0.849,0.641,0.574,0.700,0.611,0.611,0.286,0.500,0.364,0.818,0.643,0.720
"up_sample","wrapper: rfe_lr","knn","genomic_epidemiological",0.702,0.751,0.592,0.382,0.601,0.583,0.583,0.111,0.125,0.118,0.741,0.714,0.727
"up_sample","wrapper: rfe_lr","linear_svm","genomic_epidemiological",0.692,1.000,0.606,0.500,0.577,0.639,0.639,0.000,0.000,0.000,0.742,0.821,0.780
"smote_sample","filter: anova","rf","genomic_epidemiological",0.682,1.000,0.681,0.478,0.605,0.778,0.778,0.000,0.000,0.000,0.778,1.000,0.875
"up_sample","embedded: rlr_l1","rf","genomic_epidemiological",0.681,1.000,0.667,0.563,0.600,0.750,0.750,0.000,0.000,0.000,0.771,0.964,0.857
"raw","wrapper: rfe_lr","linear_svm","genomic_epidemiological",0.680,1.000,0.606,0.438,0.577,0.639,0.639,0.000,0.000,0.000,0.742,0.821,0.780
"smote_sample","wrapper: rfe_lr","linear_svm","genomic_epidemiological",0.680,1.000,0.606,0.429,0.577,0.639,0.639,0.000,0.000,0.000,0.742,0.821,0.780
"smote_sample","wrapper: rfe_lr","rf","genomic_epidemiological",0.679,1.000,0.681,0.464,0.605,0.778,0.778,0.000,0.000,0.000,0.778,1.000,0.875
"up_sample","wrapper: rfe_lr","rf","genomic_epidemiological",0.676,1.000,0.681,0.525,0.605,0.778,0.778,0.000,0.000,0.000,0.778,1.000,0.875
"raw","wrapper: rfe_lr","rf","genomic_epidemiological",0.675,1.000,0.681,0.518,0.605,0.778,0.778,0.000,0.000,0.000,0.778,1.000,0.875
"down_sample","embedded: rlr_l1","knn","genomic_epidemiological",0.675,0.993,0.707,0.475,0.696,0.722,0.722,0.333,0.250,0.286,0.800,0.857,0.828
"up_sample","embedded: rlr_l1","knn","genomic_epidemiological",0.674,0.993,0.766,0.592,0.759,0.778,0.778,0.500,0.375,0.429,0.833,0.893,0.862
"raw","embedded: rlr_l1","knn","genomic_epidemiological",0.673,1.000,0.681,0.429,0.605,0.778,0.778,0.000,0.000,0.000,0.778,1.000,0.875
"raw","filter: anova","rf","genomic_epidemiological",0.667,1.000,0.681,0.699,0.605,0.778,0.778,0.000,0.000,0.000,0.778,1.000,0.875
"up_sample","filter: anova","rf","genomic_epidemiological",0.667,1.000,0.681,0.645,0.605,0.778,0.778,0.000,0.000,0.000,0.778,1.000,0.875
"raw","filter: anova","knn","genomic_epidemiological",0.667,0.979,0.681,0.473,0.605,0.778,0.778,0.000,0.000,0.000,0.778,1.000,0.875
"raw","wrapper: rfe_lr","knn","genomic_epidemiological",0.667,0.667,0.681,0.569,0.605,0.778,0.778,0.000,0.000,0.000,0.778,1.000,0.875
"raw","embedded: rlr_l1","rf","genomic_epidemiological",0.667,1.000,0.681,0.542,0.605,0.778,0.778,0.000,0.000,0.000,0.778,1.000,0.875
"smote_sample","embedded: rlr_l1","rf","genomic_epidemiological",0.667,1.000,0.681,0.652,0.605,0.778,0.778,0.000,0.000,0.000,0.778,1.000,0.875
"up_sample","filter: anova","knn","genomic_epidemiological",0.663,0.993,0.667,0.482,0.600,0.750,0.750,0.000,0.000,0.000,0.771,0.964,0.857
"down_sample","filter: anova","knn","genomic_epidemiological",0.661,0.972,0.685,0.542,0.663,0.722,0.722,0.250,0.125,0.167,0.781,0.893,0.833
"raw","embedded: rlr_l1","linear_svm","genomic_epidemiological",0.660,1.000,0.722,0.518,0.729,0.778,0.778,0.500,0.125,0.200,0.794,0.964,0.871
"up_sample","embedded: rlr_l1","linear_svm","genomic_epidemiological",0.660,1.000,0.722,0.513,0.729,0.778,0.778,0.500,0.125,0.200,0.794,0.964,0.871
"smote_sample","embedded: rlr_l1","linear_svm","genomic_epidemiological",0.660,1.000,0.722,0.522,0.729,0.778,0.778,0.500,0.125,0.200,0.794,0.964,0.871
"raw","filter: anova","linear_svm","genomic_epidemiological",0.660,1.000,0.681,0.442,0.605,0.778,0.778,0.000,0.000,0.000,0.778,1.000,0.875
"up_sample","filter: anova","linear_svm","genomic_epidemiological",0.660,1.000,0.681,0.442,0.605,0.778,0.778,0.000,0.000,0.000,0.778,1.000,0.875
"smote_sample","filter: anova","linear_svm","genomic_epidemiological",0.660,1.000,0.681,0.442,0.605,0.778,0.778,0.000,0.000,0.000,0.778,1.000,0.875
"down_sample","wrapper: rfe_lr","knn","genomic_epidemiological",0.657,0.716,0.552,0.333,0.580,0.528,0.528,0.091,0.125,0.105,0.720,0.643,0.679
"down_sample","embedded: rlr_l1","linear_svm","genomic_epidemiological",0.657,1.000,0.667,0.536,0.647,0.694,0.694,0.200,0.125,0.154,0.774,0.857,0.814
"down_sample","wrapper: rfe_lr","linear_svm","genomic_epidemiological",0.639,1.000,0.626,0.451,0.643,0.611,0.611,0.200,0.250,0.222,0.769,0.714,0.741
"down_sample","filter: anova","linear_svm","genomic_epidemiological",0.627,1.000,0.722,0.451,0.729,0.778,0.778,0.500,0.125,0.200,0.794,0.964,0.871
"down_sample","wrapper: rfe_lr","rf","genomic_epidemiological",0.621,0.856,0.657,0.576,0.683,0.639,0.639,0.273,0.375,0.316,0.800,0.714,0.755
"down_sample","filter: anova","rf","genomic_epidemiological",0.613,0.843,0.644,0.647,0.765,0.611,0.611,0.333,0.750,0.462,0.889,0.571,0.696
"smote_sample","wrapper: rfe_lr","knn","genomic_epidemiological",0.491,0.707,0.515,0.491,0.642,0.472,0.472,0.211,0.500,0.296,0.765,0.464,0.578
"smote_sample","embedded: rlr_l1","knn","genomic_epidemiological",0.297,0.657,0.210,0.411,0.510,0.250,0.250,0.194,0.750,0.308,0.600,0.107,0.182
