sampling,fs,classifier,data,cv f1,train f1,test f1,test auc,test precision,test recall,test accuracy,test precision (1),test recall (1),test f1 (1),test precision (0),test recall (0),test f1 (0)
b'raw',b'filter: anova',b'linear_svm',b'genomic_epidemiological',0.66709459416,1.0,0.666666666667,0.522321428571,0.6,0.75,0.75,0.0,0.0,0.0,0.771428571429,0.964285714286,0.857142857143
b'down_sample',b'filter: anova',b'linear_svm',b'genomic_epidemiological',0.674466303812,1.0,0.652329749104,0.526785714286,0.59477124183,0.722222222222,0.722222222222,0.0,0.0,0.0,0.764705882353,0.928571428571,0.838709677419
b'up_sample',b'filter: anova',b'linear_svm',b'genomic_epidemiological',0.66709459416,1.0,0.666666666667,0.522321428571,0.6,0.75,0.75,0.0,0.0,0.0,0.771428571429,0.964285714286,0.857142857143
b'smote_sample',b'filter: anova',b'linear_svm',b'genomic_epidemiological',0.66709459416,1.0,0.666666666667,0.522321428571,0.6,0.75,0.75,0.0,0.0,0.0,0.771428571429,0.964285714286,0.857142857143
b'raw',b'filter: anova',b'rf',b'genomic_epidemiological',0.66709459416,1.0,0.680555555556,0.595982142857,0.604938271605,0.777777777778,0.777777777778,0.0,0.0,0.0,0.777777777778,1.0,0.875
b'down_sample',b'filter: anova',b'rf',b'genomic_epidemiological',0.630284825863,0.836724612321,0.516690307329,0.486607142857,0.612315101479,0.472222222222,0.472222222222,0.176470588235,0.375,0.24,0.736842105263,0.5,0.595744680851
b'up_sample',b'filter: anova',b'rf',b'genomic_epidemiological',0.66709459416,1.0,0.666666666667,0.508928571429,0.6,0.75,0.75,0.0,0.0,0.0,0.771428571429,0.964285714286,0.857142857143
b'smote_sample',b'filter: anova',b'rf',b'genomic_epidemiological',0.66709459416,1.0,0.680555555556,0.575892857143,0.604938271605,0.777777777778,0.777777777778,0.0,0.0,0.0,0.777777777778,1.0,0.875
b'raw',b'filter: anova',b'knn',b'genomic_epidemiological',0.66709459416,0.97851361563,0.666666666667,0.464285714286,0.6,0.75,0.75,0.0,0.0,0.0,0.771428571429,0.964285714286,0.857142857143
b'down_sample',b'filter: anova',b'knn',b'genomic_epidemiological',0.66709459416,1.0,0.721863799283,0.504464285714,0.728758169935,0.777777777778,0.777777777778,0.5,0.125,0.2,0.794117647059,0.964285714286,0.870967741935
b'up_sample',b'filter: anova',b'knn',b'genomic_epidemiological',0.670724807213,0.971518886044,0.666666666667,0.464285714286,0.6,0.75,0.75,0.0,0.0,0.0,0.771428571429,0.964285714286,0.857142857143
b'smote_sample',b'filter: anova',b'knn',b'genomic_epidemiological',0.0876095056622,0.0876458752515,0.0808080808081,0.5,0.0493827160494,0.222222222222,0.222222222222,0.222222222222,1.0,0.363636363636,0.0,0.0,0.0
b'raw',b'wrapper: rfe_lr',b'linear_svm',b'genomic_epidemiological',0.661468462494,1.0,0.652329749104,0.508928571429,0.59477124183,0.722222222222,0.722222222222,0.0,0.0,0.0,0.764705882353,0.928571428571,0.838709677419
b'down_sample',b'wrapper: rfe_lr',b'linear_svm',b'genomic_epidemiological',0.676072352201,0.958909115068,0.648604269294,0.540178571429,0.633333333333,0.666666666667,0.666666666667,0.166666666667,0.125,0.142857142857,0.766666666667,0.821428571429,0.793103448276
b'up_sample',b'wrapper: rfe_lr',b'linear_svm',b'genomic_epidemiological',0.661468462494,1.0,0.703427719821,0.504464285714,0.686868686869,0.75,0.75,0.333333333333,0.125,0.181818181818,0.787878787879,0.928571428571,0.852459016393
b'smote_sample',b'wrapper: rfe_lr',b'linear_svm',b'genomic_epidemiological',0.671224729881,1.0,0.703427719821,0.5,0.686868686869,0.75,0.75,0.333333333333,0.125,0.181818181818,0.787878787879,0.928571428571,0.852459016393
b'raw',b'wrapper: rfe_lr',b'rf',b'genomic_epidemiological',0.676972568338,1.0,0.740740740741,0.658482142857,0.844444444444,0.805555555556,0.805555555556,1.0,0.125,0.222222222222,0.8,1.0,0.888888888889
b'down_sample',b'wrapper: rfe_lr',b'rf',b'genomic_epidemiological',0.667369424361,0.80488649985,0.560846560847,0.504464285714,0.609067261241,0.527777777778,0.527777777778,0.153846153846,0.25,0.190476190476,0.739130434783,0.607142857143,0.666666666667
b'up_sample',b'wrapper: rfe_lr',b'rf',b'genomic_epidemiological',0.687936114725,1.0,0.680555555556,0.725446428571,0.604938271605,0.777777777778,0.777777777778,0.0,0.0,0.0,0.777777777778,1.0,0.875
b'smote_sample',b'wrapper: rfe_lr',b'rf',b'genomic_epidemiological',0.66709459416,1.0,0.680555555556,0.618303571429,0.604938271605,0.777777777778,0.777777777778,0.0,0.0,0.0,0.777777777778,1.0,0.875
b'raw',b'wrapper: rfe_lr',b'knn',b'genomic_epidemiological',0.690460660826,0.875555721597,0.765736179529,0.645089285714,0.759259259259,0.777777777778,0.777777777778,0.5,0.375,0.428571428571,0.833333333333,0.892857142857,0.862068965517
b'down_sample',b'wrapper: rfe_lr',b'knn',b'genomic_epidemiological',0.635408099507,0.735814889336,0.566255144033,0.533482142857,0.699002407981,0.527777777778,0.527777777778,0.263157894737,0.625,0.37037037037,0.823529411765,0.5,0.622222222222
b'up_sample',b'wrapper: rfe_lr',b'knn',b'genomic_epidemiological',0.650978428826,0.835215847256,0.616977225673,0.649553571429,0.688888888889,0.583333333333,0.583333333333,0.266666666667,0.5,0.347826086957,0.809523809524,0.607142857143,0.69387755102
b'smote_sample',b'wrapper: rfe_lr',b'knn',b'genomic_epidemiological',0.457085502308,0.627982018808,0.533333333333,0.662946428571,0.727272727273,0.5,0.5,0.272727272727,0.75,0.4,0.857142857143,0.428571428571,0.571428571429
b'raw',b'embedded: rlr_l1',b'linear_svm',b'genomic_epidemiological',0.66709459416,1.0,0.652329749104,0.540178571429,0.59477124183,0.722222222222,0.722222222222,0.0,0.0,0.0,0.764705882353,0.928571428571,0.838709677419
b'down_sample',b'embedded: rlr_l1',b'linear_svm',b'genomic_epidemiological',0.679799857923,1.0,0.63752276867,0.517857142857,0.589225589226,0.694444444444,0.694444444444,0.0,0.0,0.0,0.757575757576,0.892857142857,0.819672131148
b'up_sample',b'embedded: rlr_l1',b'linear_svm',b'genomic_epidemiological',0.66709459416,1.0,0.652329749104,0.540178571429,0.59477124183,0.722222222222,0.722222222222,0.0,0.0,0.0,0.764705882353,0.928571428571,0.838709677419
b'smote_sample',b'embedded: rlr_l1',b'linear_svm',b'genomic_epidemiological',0.66709459416,1.0,0.652329749104,0.540178571429,0.59477124183,0.722222222222,0.722222222222,0.0,0.0,0.0,0.764705882353,0.928571428571,0.838709677419
b'raw',b'embedded: rlr_l1',b'rf',b'genomic_epidemiological',0.66709459416,1.0,0.680555555556,0.549107142857,0.604938271605,0.777777777778,0.777777777778,0.0,0.0,0.0,0.777777777778,1.0,0.875
b'down_sample',b'embedded: rlr_l1',b'rf',b'genomic_epidemiological',0.698535165627,0.939057887998,0.582905982906,0.441964285714,0.62037037037,0.555555555556,0.555555555556,0.166666666667,0.25,0.2,0.75,0.642857142857,0.692307692308
