"sampling","fs","classifier","data","cv f1","train f1","test f1","test auc","test precision","test recall","test accuracy","test precision (1)","test recall (1)","test f1 (1)","test precision (0)","test recall (0)","test f1 (0)"
"up_sample","embedded: rlr_l1","knn","genomic_epidemiological","0,7041","0,9930","0,6670","0,4978","0,6466","0,6944","0,6944","0,2000","0,1250","0,1538","0,7742","0,8571","0,8136"
"smote_sample","wrapper: rfe_lr","rf","genomic_epidemiological","0,7007","1,0000","0,7219","0,4174","0,7288","0,7778","0,7778","0,5000","0,1250","0,2000","0,7941","0,9643","0,8710"
"up_sample","wrapper: rfe_lr","rf","genomic_epidemiological","0,6979","1,0000","0,7034","0,7589","0,6869","0,7500","0,7500","0,3333","0,1250","0,1818","0,7879","0,9286","0,8525"
"up_sample","wrapper: rfe_lr","linear_svm","genomic_epidemiological","0,6840","0,9861","0,7657","0,6696","0,7593","0,7778","0,7778","0,5000","0,3750","0,4286","0,8333","0,8929","0,8621"
"down_sample","embedded: rlr_l1","linear_svm","genomic_epidemiological","0,6826","1,0000","0,6869","0,5536","0,6804","0,6944","0,6944","0,2857","0,2500","0,2667","0,7931","0,8214","0,8070"
"raw","wrapper: rfe_lr","rf","genomic_epidemiological","0,6787","1,0000","0,6523","0,6250","0,5948","0,7222","0,7222","0,0000","0,0000","0,0000","0,7647","0,9286","0,8387"
"raw","embedded: rlr_l1","linear_svm","genomic_epidemiological","0,6787","1,0000","0,6667","0,5848","0,6000","0,7500","0,7500","0,0000","0,0000","0,0000","0,7714","0,9643","0,8571"
"up_sample","embedded: rlr_l1","linear_svm","genomic_epidemiological","0,6787","1,0000","0,6667","0,5848","0,6000","0,7500","0,7500","0,0000","0,0000","0,0000","0,7714","0,9643","0,8571"
"smote_sample","embedded: rlr_l1","linear_svm","genomic_epidemiological","0,6787","1,0000","0,6667","0,5848","0,6000","0,7500","0,7500","0,0000","0,0000","0,0000","0,7714","0,9643","0,8571"
"down_sample","embedded: rlr_l1","knn","genomic_epidemiological","0,6778","1,0000","0,6255","0,4643","0,6427","0,6111","0,6111","0,2000","0,2500","0,2222","0,7692","0,7143","0,7407"
